Currency_Time,Blended,Duration_Time,Prerequisite_3,Distance,Availability,Currency,Career_Outcomes,Face_to_Face,Part_Time,Faculty,Prerequisite_1_grade,Full_Time,Description,Int_Fees,Level_Code,University,Remarks,Prerequisite_1,City,Offline,Duration,Course,Prerequisite_2,Prerequisite_2_grade,Prerequisite_3_grade,Local_Fees,Website,Country,Online,Course_Lang
year,no,,,no,,AUD,,yes,no,Humanities and Social Science,,yes,This course is intended to provide participants with the following knowledge and skills to deepen their understanding of Christian theology and to perform limited functions associated with serving in a Christian church group or ministry context:,,VOC,Eastern College Australia,,,Online,yes,,Certificate III in Christian Ministry and Theology (10741NAT),IELTS,6.5,,,https://www.eastern.edu.au/courses/certificate-iii-christian-ministry-theology/10741nat,Australia,yes,English
year,no,,,no,,AUD,,yes,no,Humanities and Social Science,,yes,This course is intended to provide participants with the following knowledge and skills to deepen their understanding of Christian theology and to perform limited functions associated with serving in a Christian church group or ministry context:,,VOC,Eastern College Australia,,,Western Australia,yes,,Certificate III in Christian Ministry and Theology (10741NAT),IELTS,6.5,,,https://www.eastern.edu.au/courses/certificate-iii-christian-ministry-theology/10741nat,Australia,yes,English
year,no,,,no,,AUD,,yes,no,Humanities and Social Science,,yes,This course is intended to provide participants with the following knowledge and skills to deepen their understanding of Christian theology and to perform limited functions associated with serving in a Christian church group or ministry context:,,VOC,Eastern College Australia,,,Melbourne,yes,,Certificate III in Christian Ministry and Theology (10741NAT),IELTS,6.5,,,https://www.eastern.edu.au/courses/certificate-iii-christian-ministry-theology/10741nat,Australia,yes,English
year,no,,,no,,AUD,,yes,no,Humanities and Social Science,,yes,This course is intended to provide participants with the following knowledge and skills to deepen their understanding of Christian theology and to perform limited functions associated with serving in a Christian church group or ministry context:,,VOC,Eastern College Australia,,,Victoria,yes,,Certificate III in Christian Ministry and Theology (10741NAT),IELTS,6.5,,,https://www.eastern.edu.au/courses/certificate-iii-christian-ministry-theology/10741nat,Australia,yes,English
year,no,,,no,,AUD,,yes,no,Education,,yes,"Eastern College Australia delivers the Cert III in Education Support in local primary schools
During 2019 delivery will occur at the following schools (Based upon sufficient student enrolments.):",,VOC,Eastern College Australia,,,Melbourne,yes,,CHC30213 - Certificate III in Education Support,IELTS,6.5,,,https://www.eastern.edu.au/courses/certificate-iii-education-support/chc30213,Australia,yes,English
year,no,,,no,,AUD,,no,no,English,,yes,"This course is an intermediate course for learners who have had either formal or informal exposure to English and who have already developed a basic level of English language
competence and numeracy skills, but require ongoing English language learning opportunities. It provides English language learning for EAL learners, primarily targeting newly arrived migrants and refugees who need to develop routine language skills to participate in a range of community,
further training or employment contexts.",,VOC,Eastern College Australia,,,Melbourne,no,,Certificate III in Spoken and Written English (10729NAT),IELTS,6.5,,,https://www.eastern.edu.au/courses/certificate-iii-spoken-written-english/10729nat,Australia,no,English
year,no,,,no,,AUD,,no,yes,Humanities and Social Science,,no,"This qualification reflects the role of chaplains and/or pastoral and spiritual care workers who provide ongoing ethical, moral and spiritual support to clients using a person-centred approach.",,VOC,Eastern College Australia,,,Online,no,,CHC42315 - Certificate IV in Chaplaincy and Pastoral Care,IELTS,6.5,,,https://www.eastern.edu.au/courses/certificate-iv-chaplaincy-pastoral-care/chc42315,Australia,yes,English
year,no,,,no,,AUD,,no,yes,Humanities and Social Science,,no,"This qualification reflects the role of chaplains and/or pastoral and spiritual care workers who provide ongoing ethical, moral and spiritual support to clients using a person-centred approach.",,VOC,Eastern College Australia,,,Melbourne,no,,CHC42315 - Certificate IV in Chaplaincy and Pastoral Care,IELTS,6.5,,,https://www.eastern.edu.au/courses/certificate-iv-chaplaincy-pastoral-care/chc42315,Australia,yes,English
year,no,,,no,,AUD,,no,yes,Humanities and Social Science,,yes,This course is intended to provide participants with a range of knowledge and skills perform the following functions in a Christian ministry context:,,VOC,Eastern College Australia,,,Online,no,,Certificate IV in Christian Ministry and Theology (10742NAT),IELTS,6.5,,,https://www.eastern.edu.au/courses/certificate-iv-christian-ministry-theology/10742nat,Australia,yes,English
year,no,,,no,,AUD,,no,yes,Humanities and Social Science,,yes,This course is intended to provide participants with a range of knowledge and skills perform the following functions in a Christian ministry context:,,VOC,Eastern College Australia,,,Western Australia,no,,Certificate IV in Christian Ministry and Theology (10742NAT),IELTS,6.5,,,https://www.eastern.edu.au/courses/certificate-iv-christian-ministry-theology/10742nat,Australia,yes,English
