Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade,Prerequisite_2_grade,Prerequisite_3_grade,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Subject_or_Unit_1,Subject_Objective_1,Subject_Description_1,Subject_or_Unit_2,Subject_Objective_2,Subject_Description_2,Subject_or_Unit_3,Subject_Objective_3,Subject_Description_3,Subject_or_Unit_4,Subject_Objective_4,Subject_Description_4,Subject_or_Unit_5,Subject_Objective_5,Subject_Description_5,Subject_or_Unit_6,Subject_Objective_6,Subject_Description_6,Subject_or_Unit_7,Subject_Objective_7,Subject_Description_7,Subject_or_Unit_8,Subject_Objective_8,Subject_Description_8,Subject_or_Unit_9,Subject_Objective_9,Subject_Description_9,Subject_or_Unit_10,Subject_Objective_10,Subject_Description_10,Subject_or_Unit_11,Subject_Objective_11,Subject_Description_11,Subject_or_Unit_12,Subject_Objective_12,Subject_Description_12,Subject_or_Unit_13,Subject_Objective_13,Subject_Description_13,Subject_or_Unit_14,Subject_Objective_14,Subject_Description_14,Subject_or_Unit_15,Subject_Objective_15,Subject_Description_15,Subject_or_Unit_16,Subject_Objective_16,Subject_Description_16,Subject_or_Unit_17,Subject_Objective_17,Subject_Description_17,Subject_or_Unit_18,Subject_Objective_18,Subject_Description_18,Subject_or_Unit_19,Subject_Objective_19,Subject_Description_19,Subject_or_Unit_20,Subject_Objective_20,Subject_Description_20,Subject_or_Unit_21,Subject_Objective_21,Subject_Description_21,Subject_or_Unit_22,Subject_Objective_22,Subject_Description_22,Subject_or_Unit_23,Subject_Objective_23,Subject_Description_23,Subject_or_Unit_24,Subject_Objective_24,Subject_Description_24,Subject_or_Unit_25,Subject_Objective_25,Subject_Description_25,Subject_or_Unit_26,Subject_Objective_26,Subject_Description_26,Subject_or_Unit_27,Subject_Objective_27,Subject_Description_27,Subject_or_Unit_28,Subject_Objective_28,Subject_Description_28,Subject_or_Unit_29,Subject_Objective_29,Subject_Description_29,Subject_or_Unit_30,Subject_Objective_30,Subject_Description_30,Subject_or_Unit_31,Subject_Objective_31,Subject_Description_31,Subject_or_Unit_32,Subject_Objective_32,Subject_Description_32,Subject_or_Unit_33,Subject_Objective_33,Subject_Description_33,Subject_or_Unit_34,Subject_Objective_34,Subject_Description_34,Subject_or_Unit_35,Subject_Objective_35,Subject_Description_35,Subject_or_Unit_36,Subject_Objective_36,Subject_Description_36,Subject_or_Unit_37,Subject_Objective_37,Subject_Description_37,Subject_or_Unit_38,Subject_Objective_38,Subject_Description_38,Subject_or_Unit_39,Subject_Objective_39,Subject_Description_39,Subject_or_Unit_40,Subject_Objective_40,Subject_Description_40
VOC,Eastern College Australia,Online,Certificate III in Christian Ministry and Theology (10741NAT),Humanities and Social Science,,,AUD,year,,,yes,no,,IELTS,,,6.5,,https://www.eastern.edu.au/courses/certificate-iii-christian-ministry-theology/10741nat,English,,This course is intended to provide participants with the following knowledge and skills to deepen their understanding of Christian theology and to perform limited functions associated with serving in a Christian church group or ministry context:,,Australia,yes,yes,no,yes,no,,,,,CMTMIN302 Communicate theology in everyday language,,,CMTTHE301 Research Christian Scripture and Theology,,,CMTTHE302 Identify theological data,,,CMTTHE303 Present information on a theological theme or issue,,,CMTTHE304 Apply new theological insight,,,BSBCMM401 Make a presentation,,,BSBCRT101 Apply critical thinking techniques,,,BSBWOR301 Organise personal work priorities and development,,,CHCCDE004 Implement participation and engagement strategies,,,CHCECE006 Support behaviour of children and young people.,,,CHCGRP001 Support group activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOC,Eastern College Australia,Western Australia,Certificate III in Christian Ministry and Theology (10741NAT),Humanities and Social Science,,,AUD,year,,,yes,no,,IELTS,,,6.5,,https://www.eastern.edu.au/courses/certificate-iii-christian-ministry-theology/10741nat,English,,This course is intended to provide participants with the following knowledge and skills to deepen their understanding of Christian theology and to perform limited functions associated with serving in a Christian church group or ministry context:,,Australia,yes,yes,no,yes,no,,,,,CMTMIN302 Communicate theology in everyday language,,,CMTTHE301 Research Christian Scripture and Theology,,,CMTTHE302 Identify theological data,,,CMTTHE303 Present information on a theological theme or issue,,,CMTTHE304 Apply new theological insight,,,BSBCMM401 Make a presentation,,,BSBCRT101 Apply critical thinking techniques,,,BSBWOR301 Organise personal work priorities and development,,,CHCCDE004 Implement participation and engagement strategies,,,CHCECE006 Support behaviour of children and young people.,,,CHCGRP001 Support group activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOC,Eastern College Australia,Melbourne,Certificate III in Christian Ministry and Theology (10741NAT),Humanities and Social Science,,,AUD,year,,,yes,no,,IELTS,,,6.5,,https://www.eastern.edu.au/courses/certificate-iii-christian-ministry-theology/10741nat,English,,This course is intended to provide participants with the following knowledge and skills to deepen their understanding of Christian theology and to perform limited functions associated with serving in a Christian church group or ministry context:,,Australia,yes,yes,no,yes,no,,,,,CMTMIN302 Communicate theology in everyday language,,,CMTTHE301 Research Christian Scripture and Theology,,,CMTTHE302 Identify theological data,,,CMTTHE303 Present information on a theological theme or issue,,,CMTTHE304 Apply new theological insight,,,BSBCMM401 Make a presentation,,,BSBCRT101 Apply critical thinking techniques,,,BSBWOR301 Organise personal work priorities and development,,,CHCCDE004 Implement participation and engagement strategies,,,CHCECE006 Support behaviour of children and young people.,,,CHCGRP001 Support group activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOC,Eastern College Australia,Victoria,Certificate III in Christian Ministry and Theology (10741NAT),Humanities and Social Science,,,AUD,year,,,yes,no,,IELTS,,,6.5,,https://www.eastern.edu.au/courses/certificate-iii-christian-ministry-theology/10741nat,English,,This course is intended to provide participants with the following knowledge and skills to deepen their understanding of Christian theology and to perform limited functions associated with serving in a Christian church group or ministry context:,,Australia,yes,yes,no,yes,no,,,,,CMTMIN302 Communicate theology in everyday language,,,CMTTHE301 Research Christian Scripture and Theology,,,CMTTHE302 Identify theological data,,,CMTTHE303 Present information on a theological theme or issue,,,CMTTHE304 Apply new theological insight,,,BSBCMM401 Make a presentation,,,BSBCRT101 Apply critical thinking techniques,,,BSBWOR301 Organise personal work priorities and development,,,CHCCDE004 Implement participation and engagement strategies,,,CHCECE006 Support behaviour of children and young people.,,,CHCGRP001 Support group activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOC,Eastern College Australia,Melbourne,CHC30213 - Certificate III in Education Support,Education,,,AUD,year,,,yes,no,,IELTS,,,6.5,,https://www.eastern.edu.au/courses/certificate-iii-education-support/chc30213,English,,"Eastern College Australia delivers the Cert III in Education Support in local primary schools.
During 2021 delivery will occur at the Berwick Lodge Primary School.",,Australia,yes,yes,no,yes,no,,,,,"CHCEDS001 Comply with legislative, policy and industrial requirements in the educational environment.",,,CHCEDS002 Assist implementation of planned educational programs.,,,CHCEDS003 Contribute to student education in all developmental domains.,,,CHCEDS004 Contribute to organisation and management of classroom or centre.,,,CHCEDS005 Support the development of literacy and oral language skills.,,,CHCEDS006 Support the development of numeracy skills.,,,CHCEDS007 Work effectively with students and colleagues.,,,CHCEDS017 Contribute to the health and safety of students.,,,CHCEDS018 Support students with additional needs in the classroom environment.,,,CHCDIV001 Work with diverse people.,,,CHCDIV002 Promote Aboriginal and/or Torres Strait Islander cultural safety.,,,CHCEDS008 Comply with school administrative requirements,,,CHCEDS011 Search and assess online information,,,CHCEDS014 Support students with English as a second language,,,HLTAID003 Apply First Aid.,,,HLTWHS001 Participate in Workplace Health & Safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOC,Eastern College Australia,Melbourne,Certificate III in Spoken and Written English (10729NAT),English,,,AUD,year,,,yes,no,,IELTS,,,6.5,,https://www.eastern.edu.au/courses/certificate-iii-spoken-written-english/10729nat,English,,"This course is an intermediate course for learners who have had either formal or informal exposure to English and who have already developed a basic level of English language
competence and numeracy skills, but require ongoing English language learning opportunities. It provides English language learning for EAL learners, primarily targeting newly arrived migrants and refugees who need to develop routine language skills to participate in a range of community,
further training or employment contexts.",,Australia,no,no,no,no,no,,,,,"CHCEDS001 Comply with legislative, policy and industrial requirements in the educational environment.",,,CHCEDS002 Assist implementation of planned educational programs.,,,CHCEDS003 Contribute to student education in all developmental domains.,,,CHCEDS004 Contribute to organisation and management of classroom or centre.,,,CHCEDS005 Support the development of literacy and oral language skills.,,,CHCEDS006 Support the development of numeracy skills.,,,CHCEDS007 Work effectively with students and colleagues.,,,CHCEDS017 Contribute to the health and safety of students.,,,CHCEDS018 Support students with additional needs in the classroom environment.,,,CHCDIV001 Work with diverse people.,,,CHCDIV002 Promote Aboriginal and/or Torres Strait Islander cultural safety.,,,CHCEDS008 Comply with school administrative requirements,,,CHCEDS011 Search and assess online information,,,CHCEDS014 Support students with English as a second language,,,HLTAID003 Apply First Aid.,,,HLTWHS001 Participate in Workplace Health & Safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOC,Eastern College Australia,Online,CHC42315 - Certificate IV in Chaplaincy and Pastoral Care,Humanities and Social Science,,,AUD,year,,,no,yes,,IELTS,,,6.5,,https://www.eastern.edu.au/courses/certificate-iv-chaplaincy-pastoral-care/chc42315,English,,"This qualification reflects the role of chaplains and/or pastoral and spiritual care workers who provide ongoing ethical, moral and spiritual support to clients using a person-centred approach.",,Australia,yes,no,no,no,no,,,,,CHCCCS017 Provide loss and grief support,,,CHCCOM002 Use communication to build relationships,,,CHCDIV001 Work with diverse people,,,CHCLEG001 Work legally and ethically,,,CHCMHS001 Work with people with mental health issues,,,CHCPAS001 Plan for the provision of pastoral and spiritual care,,,CHCPAS002 Provide pastoral and spiritual care,,,CHCPRP003 Reflect on and improve own professional practice,,,CHCADV001 Facilitate the interests and rights of clients,,,CHCAGE001 Facilitate the empowerment of older people,,,CHCCDE003 Work within a community development framework,,,CHCDIV002 Promote Aboriginal and/or Torres Strait Islander cultural safety,,,"CHCMHS011 Assess and promote social, emotional and physical wellbeing",,,CHCPRT001 Identify and respond to children and young people at risk,,,CHCVOL001 Be an effective volunteer,,,HLTAID003 Apply first aid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOC,Eastern College Australia,Melbourne,CHC42315 - Certificate IV in Chaplaincy and Pastoral Care,Humanities and Social Science,,,AUD,year,,,no,yes,,IELTS,,,6.5,,https://www.eastern.edu.au/courses/certificate-iv-chaplaincy-pastoral-care/chc42315,English,,"This qualification reflects the role of chaplains and/or pastoral and spiritual care workers who provide ongoing ethical, moral and spiritual support to clients using a person-centred approach.",,Australia,yes,no,no,no,no,,,,,CHCCCS017 Provide loss and grief support,,,CHCCOM002 Use communication to build relationships,,,CHCDIV001 Work with diverse people,,,CHCLEG001 Work legally and ethically,,,CHCMHS001 Work with people with mental health issues,,,CHCPAS001 Plan for the provision of pastoral and spiritual care,,,CHCPAS002 Provide pastoral and spiritual care,,,CHCPRP003 Reflect on and improve own professional practice,,,CHCADV001 Facilitate the interests and rights of clients,,,CHCAGE001 Facilitate the empowerment of older people,,,CHCCDE003 Work within a community development framework,,,CHCDIV002 Promote Aboriginal and/or Torres Strait Islander cultural safety,,,"CHCMHS011 Assess and promote social, emotional and physical wellbeing",,,CHCPRT001 Identify and respond to children and young people at risk,,,CHCVOL001 Be an effective volunteer,,,HLTAID003 Apply first aid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOC,Eastern College Australia,Online,Certificate IV in Christian Ministry and Theology (10742NAT),Humanities and Social Science,,,AUD,year,,,yes,yes,,IELTS,,,6.5,,https://www.eastern.edu.au/courses/certificate-iv-christian-ministry-theology/10742nat,English,,This course is intended to provide participants with a range of knowledge and skills perform the following functions in a Christian ministry context:,,Australia,yes,no,no,no,no,,,,,CMTMIN402 Communicate theological information,,,CMTTHE401 Interpret and discuss Christian Scripture and Theology,,,CMTTHE402 Interpret theological data,,,CMTTHE403 Compare and present information on a theological theme or issue,,,CMTTHE404 Compare and apply new theological insights,,,CHCCCS016 Respond to client needs,,,CHCCDE002 Develop and implement community programs,,,CHCCDE003 Work within a community development framework,,,CHCCOM002 Use communication to build relationships,,,CHCGRP002 Plan and conduct group activities,,,CHCMHS001 Work with people with mental health issues,,,CHCPAS001 Plan for the provision of pastoral and spiritual care,,,CHCPAS002 Provide pastoral and spiritual care,,,CHCPRP003 Reflect on and improve own professional practice,,,CHCVOL001 Be an effective volunteer,,,MSMSUP106 Work in a team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOC,Eastern College Australia,Western Australia,Certificate IV in Christian Ministry and Theology (10742NAT),Humanities and Social Science,,,AUD,year,,,yes,yes,,IELTS,,,6.5,,https://www.eastern.edu.au/courses/certificate-iv-christian-ministry-theology/10742nat,English,,This course is intended to provide participants with a range of knowledge and skills perform the following functions in a Christian ministry context:,,Australia,yes,no,no,no,no,,,,,CMTMIN402 Communicate theological information,,,CMTTHE401 Interpret and discuss Christian Scripture and Theology,,,CMTTHE402 Interpret theological data,,,CMTTHE403 Compare and present information on a theological theme or issue,,,CMTTHE404 Compare and apply new theological insights,,,CHCCCS016 Respond to client needs,,,CHCCDE002 Develop and implement community programs,,,CHCCDE003 Work within a community development framework,,,CHCCOM002 Use communication to build relationships,,,CHCGRP002 Plan and conduct group activities,,,CHCMHS001 Work with people with mental health issues,,,CHCPAS001 Plan for the provision of pastoral and spiritual care,,,CHCPAS002 Provide pastoral and spiritual care,,,CHCPRP003 Reflect on and improve own professional practice,,,CHCVOL001 Be an effective volunteer,,,MSMSUP106 Work in a team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
